geneID,KEGGID,S2_1,S2_2,S2_3,CPSF1_1,CPSF1_2,CPSF1_3
gene32,--,0,0,0,0,0,0
gene320,MMP0299,4,14,19,15,23,15
gene321,MMP0300,497,288,375,360,293,345
gene322,MMP0301,670,315,431,464,384,404
gene323,MMP0302,2467,1075,1575,1500,1379,1365
gene324,MMP0303,66,13,28,128,127,133
gene325,MMP0304,484,243,365,319,266,266
gene326,MMP0305,657,619,686,480,409,452
gene327,MMP0306,1216,1025,1181,1050,918,990
gene328,MMP0307,205,64,124,273,225,212
gene329,MMP0308,595,199,338,293,255,271
gene33,--,0,0,0,0,0,0
gene330,MMP0309,1260,406,699,716,528,543
gene331,MMP0310,547,208,360,415,394,411
gene332,MMP0311,1035,696,888,592,658,611
gene333,MMP0312,1140,1152,1149,727,774,832
gene334,MMP0313,1238,307,682,882,788,830
gene335,MMP0314,1347,822,1143,1593,1458,1496
gene336,MMP0315,141,46,79,212,158,215
gene337,MMP0316,1269,633,891,2002,1704,1715
gene338,MMP0317,22728,17323,19669,13881,13951,13753
gene339,MMP0318,9728,7214,8685,7610,6576,6630
gene34,--,0,0,0,0,0,0
gene340,MMP0319,570,227,303,283,295,301
gene341,MMP0320,1011,554,767,578,585,556
gene342,MMP0321,568,224,384,662,611,585
gene343,MMP0322,3016,1635,2365,2810,2621,2632
gene344,MMP0323,676,311,491,733,694,670
gene345,MMP0324,114,41,70,192,173,141
gene346,MMP0325,4805,4429,4626,2206,2285,2171
gene347,MMP0326,5961,3677,4604,2198,2204,2150
gene348,MMP0327,1367,927,1329,2121,2022,2140
gene349,MMP0328,813,357,586,1377,1162,1289
gene35,--,0,0,0,0,0,0
gene350,MMP0329,84,83,78,117,100,107
gene351,MMP0330,900,498,730,1427,1382,1338
gene352,MMP0331,748,269,453,772,678,695
gene353,MMP0332,493,377,482,1421,1380,1387
gene354,MMP0333,896,474,725,1519,1436,1509
gene355,MMP0334,326,291,351,655,653,628
gene356,MMP0335,1046,943,1194,1154,1014,1083
gene357,MMP0336,371,141,247,288,240,260
gene358,MMP0337,332,213,266,213,190,169
gene359,MMP0338,892,453,685,780,744,692
gene36,--,0,0,0,0,0,0
gene360,MMP0339,257,122,195,228,200,247
gene361,--,2,0,1,0,0,0
gene362,--,1,0,0,0,0,0
gene363,MMP0340,6663,4435,5942,6546,6976,6576
gene364,MMP0341,5472,3442,4518,4383,4834,4664
gene365,--,0,0,0,0,2,0
gene366,MMP0342,169,43,77,479,409,452
gene367,MMP0343,995,368,596,1710,1582,1471
gene368,MMP0344,4051,1688,2582,2433,2010,2257
gene369,MMP0345,372,205,298,798,614,622
gene37,MMP0027,403,181,312,482,425,440
gene370,MMP0346,2493,1316,1854,2121,1770,1613
gene371,MMP0347,214,32,111,170,140,123
gene372,MMP0348,3067,2141,2848,770,438,513
gene373,MMP0349,958,365,552,477,395,470
gene374,MMP0350,1092,933,1191,587,572,601
gene375,MMP0351,1963,1807,2055,916,949,937
gene376,MMP0352,1521,1134,1594,704,672,762
gene377,MMP0353,2349,2008,2506,1254,1174,1210
gene378,MMP0354,452,197,404,444,413,398
gene379,MMP0355,2195,740,1511,3735,3228,3655
gene38,MMP0028,1330,551,904,744,640,717
gene380,MMP0356,2048,743,1487,1897,1589,1932
gene381,MMP0357,3207,1181,2045,3224,2776,3133
gene382,MMP0358,4583,2054,3529,4740,4254,4906
gene383,MMP0359,6309,3553,5041,4674,4399,4464
gene384,MMP0360,1162,443,725,485,446,434
gene385,MMP0361,156,47,70,226,203,198
gene386,MMP0362,526,221,350,475,442,426
gene387,MMP0363,1108,516,846,694,655,626
gene388,MMP0364,254,123,175,218,210,192
gene389,MMP0365,461,178,268,465,447,449
gene39,MMP0029,2151,611,1194,1378,1045,1275
gene390,MMP0366,579,156,320,527,510,456
gene391,MMP0367,37,9,15,47,36,29
gene392,MMP0368,246,70,149,234,250,236
gene393,MMP0369,41575,22417,34547,21304,20351,21354
gene394,MMP0370,4742,2126,3476,5211,4851,5093
gene395,MMP0371,279,158,241,1355,1350,1427
gene396,MMP0372,61949,47349,52874,12422,11260,11053
gene397,MMP0373,2317,737,1255,1740,1307,1629
gene398,MMP0374,393,163,264,570,495,506
gene399,MMP0375,1278,586,919,1186,1209,1223
gene4,--,0,0,0,0,0,0
gene40,MMP0030,2733,1328,1888,4420,4004,4268
gene400,MMP0376,801,347,565,668,685,660
gene401,MMP0377,787,258,431,539,501,525
gene402,MMP0378,734,352,546,417,360,376
gene403,MMP0379,36,22,17,17,25,24
gene404,MMP0380,1096,601,799,526,578,580
gene405,MMP0381,875,677,821,500,452,439
gene406,MMP0382,4227,2587,3605,2171,1799,1816
gene407,MMP0383,518752,360779,419853,457714,452112,443459
gene408,--,0,0,0,0,2,1
gene409,--,0,0,0,0,0,0
gene41,MMP0031,687,210,388,860,669,752
gene410,MMP0384,513,220,331,1040,952,1002
gene411,MMP0385,1741,616,1124,4050,3391,3690
gene412,MMP0386,11022,2412,4455,6967,5581,6809
gene413,MMP0387,1664,846,1238,1030,938,988
gene414,MMP0388,5892,3444,4525,4852,4455,4452
gene415,MMP0389,123,59,87,86,79,125
gene416,MMP0390,478,307,386,1034,923,980
gene417,MMP0391,9082,5090,7128,7842,7501,7511
gene418,MMP0392,2271,1651,2066,5536,5278,5370
gene419,MMP0393,1879,1049,1329,1827,1662,1767
gene42,MMP0032,92,34,64,146,106,113
gene420,MMP0394,2303,880,1452,1918,1692,1851
gene421,MMP0395,627,285,389,535,488,521
gene422,MMP0396,7219,5502,6535,7891,7780,7513
gene423,MMP0397,8391,6921,8096,7878,7896,7781
gene424,MMP0398,1256,804,1107,1700,1521,1503
gene425,MMP0399,1813,1290,1609,1891,1780,1795
gene426,MMP0400,867,340,643,678,627,651
gene427,MMP0401,513,192,312,1012,897,979
gene428,MMP0402,1661,648,1045,2449,2100,2329
gene429,MMP0403,1162,379,686,1231,1079,1066
gene43,MMP0033,2579,1119,1754,3683,3625,3715
gene430,MMP0404,1043,418,610,1018,806,778
gene431,MMP0405,8734,5848,6871,3289,3219,3128
gene432,MMP0406,367,109,205,499,428,519
gene433,MMP0407,5294,2817,4226,3292,3384,3520
gene434,MMP0408,225,243,269,180,198,181
gene435,MMP0409,783,424,493,652,601,641
gene436,MMP0410,2075,1178,1673,3322,3013,2997
gene437,MMP0411,844,309,583,724,590,683
gene438,MMP0412,1077,482,700,2526,2240,2392
gene439,MMP0413,665,416,550,7234,6420,6520
gene44,MMP0034,3925,2850,3248,5380,5478,5229
gene440,MMP0414,9009,4720,6479,3300,3163,3208
gene441,MMP0415,689,422,573,358,336,376
gene442,MMP0416,181,93,178,117,88,82
gene443,MMP0417,1040,724,872,242,246,257
gene444,MMP0418,1502,1010,1239,335,353,341
gene445,MMP0419,7516,4827,7776,4572,4068,4581
gene446,MMP0420,1584,1073,1294,2106,2001,1945
gene447,MMP0421,2222,1480,1924,2270,2164,2255
gene448,MMP0422,1188,856,933,1193,1031,1109
