1012242,1012955,"MMP1024"
1012956,1015100,"MMP1025"
1015101,1015747,"MMP1026"
1015748,1018191,"MMP1027"
1018192,1022105,"MMP1030"
1022106,1022763,"MMP1031"
1022764,1023461,"MMP1032"
1023462,1041939,"MMP1050"
1041940,1042663,"MMP1051"
1042664,1044633,"MMP1053"
1044634,1045550,"MMP1054"
1045551,1047763,"MMP1057"
1047764,1049891,"RNA_31"
1049892,1057240,"MMP1064"
1057241,1057800,"MMP1065"
1057801,1058824,"MMP1067"
1058825,1060440,"MMP1068"
1060441,1061440,"MMP1069"
1061441,1062398,"MMP1070"
1062399,1063111,"MMP1071"
1063112,1063545,"MMP1072"
1063546,1065449,"MMP1075"
1065450,1065921,"MMP1076"
1065922,1067165,"MMP1077"
1067166,1074958,"MMP1084"
1074959,1076756,"MMP1085"
1076757,1077467,"MMP1086"
1077468,1078474,"MMP1087"
1078475,1081000,"MMP1089"
1081001,1082533,"MMP1090"
1082534,1083536,"MMP1091"
1083537,1084457,"MMP1092"
1084458,1085368,"MMP1093"
1085369,1085885,"MMP1094"
